idx,tap,float,fixed_point_2^32
0,-30,0.000444197054481,1907811
1,-29,0.000596612772324,2562432
2,-28,0.000793353010129,3407425
3,-27,0.001044473573834,4485979
4,-26,0.001361399209517,5847165
5,-25,0.001756833430568,7545542
6,-24,0.002244567834645,9640345
7,-23,0.002839173536058,12194157
8,-22,0.003555561514416,15271020
9,-21,0.004408405244043,18933956
10,-20,0.005411427933578,23241905
11,-19,0.006576567820275,28246143
12,-18,0.007913047674105,33986280
13,-17,0.009426388103651,40486028
14,-16,0.011117417263749,47748943
15,-15,0.012981340774944,55754434
16,-14,0.015006943610969,64454332
17,-13,0.017175998983440,73770353
18,-12,0.019462956677962,83592762
19,-11,0.021834974113619,93780499
20,-10,0.024252337424839,104162996
21,-9,0.026669297606731,114543761
22,-8,0.029035319461307,124705747
23,-7,0.031296710663214,134418348
24,-6,0.033398567217790,143445753
25,-5,0.035286942737565,151556265
26,-4,0.036911125194496,158532075
27,-3,0.038225888725391,164178941
28,-2,0.039193581705628,168335151
29,-1,0.039785916838466,170879211
30,0,0.039985344576529,171735747
31,1,0.039785916838466,170879211
32,2,0.039193581705628,168335151
33,3,0.038225888725391,164178941
34,4,0.036911125194496,158532075
35,5,0.035286942737565,151556265
36,6,0.033398567217790,143445753
37,7,0.031296710663214,134418348
38,8,0.029035319461307,124705747
39,9,0.026669297606731,114543761
40,10,0.024252337424839,104162996
41,11,0.021834974113619,93780499
42,12,0.019462956677962,83592762
43,13,0.017175998983440,73770353
44,14,0.015006943610969,64454332
45,15,0.012981340774944,55754434
46,16,0.011117417263749,47748943
47,17,0.009426388103651,40486028
48,18,0.007913047674105,33986280
49,19,0.006576567820275,28246143
50,20,0.005411427933578,23241905
51,21,0.004408405244043,18933956
52,22,0.003555561514416,15271020
53,23,0.002839173536058,12194157
54,24,0.002244567834645,9640345
55,25,0.001756833430568,7545542
56,26,0.001361399209517,5847165
57,27,0.001044473573834,4485979
58,28,0.000793353010129,3407425
59,29,0.000596612772324,2562432
60,30,0.000444197054481,1907811
